,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g
10751,Kirkland Signature,0096619885725,Extra Fancy Salted Mixed Nuts,607.142857142857,,21.4285714285714,3.57142857142857,57.1428571428572,7.14285714285715,17.8571428571429,7.14285714285715,758.928571428572,303.571428571429,3.0,24.0,97.3214285714286
10752,Fleury Michon,3302740076466,Parmentier de canard confit,369.0,,29.0,6.6,18.0,10.0,22.0,3.3,5.75,2.3,3.0,13.0,11.5
10753,Tobigo,6111262385393,Tobigo Petit Beurre,,,,,,,,,,,,,
10754,,6111262386185,Waffle,430.0,,51.8,33.0,22.0,5.0,5.3,,,,,,
10755,Sojasun,3273221113201,Skyr Végétal Framboise Cassis,52.0,217.0,8.7,7.7,1.0,0.4,5.9,0.7,0.11,0.044,4.0,0.0,7.32500000000001
10756,Kissan,8901030921667,kissan,20.0,,4.6,4.4,0.1,0.0,0.2,0.1,0.355,0.142,,20.0,
10757,ice,6111243860338,Ice pulpa 33cl,42.2,,10.4,10.4,0.0,0.0,0.0,,,,4.0,,28.5333333333333
10758,boitin + repair,8720182210999,tresemmé,,,,,,,,,,,,,0.0
10759,Kania,4056489822592,Sauce barbecue,164.0,,39.2,35.4,0.1,0.0,0.3,0.5,2.2,0.88,4.0,22.0,3.62083333333334
10760,crosta & mollica,5060198645167,Focaccia panini,276.0,1164.0,45.0,1.7,6.2,0.9,9.1,1.2,1.8,0.72,3.0,11.0,13.85
10761,,6111214000534,Pipas,520.0,,38.9,1.65,29.0,3.36,24.6,2.7,,,,,0.0
10762,,6111017045770,Mejora,524.0,,59.0,0.0,29.3,21.7,6.2,,0.5,0.2,,18.0,
